NCT Number,Study Title,Study URL,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Sponsor,Collaborators,Study Type,Study Documents
NCT01917019,A Safety and Efficacy Study of Oral Prolonged-Release Fampridine (BIIB041) in Japanese Participants With Multiple Sclerosis,https://clinicaltrials.gov/study/NCT01917019,COMPLETED,"This is a multicenter study conducted in 3 parts. Part A is a double-blind placebo-controlled parallel-group period, and Part B and C are open-label extension periods. The primary objective of the double-blind study (Part A) is to assess the effect of Prolonged-Release Fampridine treatment on walking speed as measured by the T25FW (timed 25 foot walk) in Japanese participants with Multiple Sclerosis. The secondary objective of the double-blind portion of the study is to evaluate the safety and tolerability of prolonged-release Fampridine in this study population. The primary objective of the open-label extension study (Part B) is to evaluate the long-term safety profile of prolonged-release Fampridine. The primary objective of the additional open-label extension (Part C) is to provide participants who complete the study with continued access to prolonged-release fampridine until marketed drug can be used at the applicable site or until sponsor decision to discontinue the study.",NO,"Multiple Sclerosis, Remittent Progressive|Multiple Sclerosis, Primary Progressive|Relapsing-Remitting Multiple Sclerosis|Secondary Progressive Multiple Sclerosis|Multiple Sclerosis",DRUG: Placebo|DRUG: BIIB041 (fampridine),"The proportion of participants who show a consistent improvement in walking speed, Part A (Up to 21 Weeks)|Number of participants with Adverse Events (AEs) and Serious Adverse Events (SAEs), Part B (54 Weeks)",Biogen,,INTERVENTIONAL,
NCT02688985,Study to Explore the Mechanism of Action of Ocrelizumab and B-Cell Biology in Participants With Relapsing Multiple Sclerosis (RMS) or Primary Progressive Multiple Sclerosis (PPMS),https://clinicaltrials.gov/study/NCT02688985,COMPLETED,"This is an open-label, multicenter, biomarker study designed to be hypothesis-generating in order to better understand the mechanism of action of ocrelizumab and B-cell biology in RMS or PPMS. The study will be conducted in two cohorts i.e. RMS cohort (4 arm group) and PPMS cohort (one arm group). RMS cohort: Ocrelizumab will be administered as two intravenous (IV) infusions of 300 milligrams (mg) on Days 1 and 15. Subsequent doses will be given as single 600-mg infusions at Weeks 24 and 48. Participants will be randomized in 1:1:1 ratio to receive lumbar puncture (LP) post-treatment at Week 12, 24, or 52 following the first dose of ocrelizumab in three arm groups. A fourth RMS arm with delayed treatment start (Arm 4 \[control group\]) will not be a part of the randomization and will be recruited separately, wherein treatment with ocrelizumab will be delayed for 12 weeks from pre-treatment baseline. PPMS cohort: Ocrelizumab 600 mg will be administered as two 300-mg IV infusions separated by 14 days at a scheduled interval of every 24 weeks. Participants will receive a LP at the start of the study before dosing with ocrelizumab and second LP at Week 52 following the first dose of ocrelizumab. A long-term extension will be conducted for participants that complete the study and continue to receive ocrelizumab. Treatment with ocrelizumab in the entire study will continue for approximately 4.5 years after the first infusion.",YES,"Relapsing Multiple Sclerorsis|Multiple Sclerosis, Primary Progressive",DRUG: Ocrelizumab|PROCEDURE: Lumbar Puncture|DRUG: Methyloprednisolone|DRUG: Antihistamine,"Change in Levels of NfL (Neurofilament Light) in CSF From Treatment Baseline to Post-Treatment With Ocrelizumab, Primary Analysis was based on following data-cut off:

Arm 1: Baseline to post-treatment at 12 weeks Arm 2: Baseline to post-treatment at 24 weeks Arm 3: Baseline to post-treatment at 52 weeks Arm 4: Baseline to post-treatment at 12 weeks PPMS Cohort: Baseline to post-treatment at 52 weeks, From Baseline to post-treatment (Week 12, 24, 52 according to randomization and Weeks 144 and 240)|Change in Number of CD19+ B Cells in CSF From Treatment Baseline to Post-Treatment With Ocrelizumab, Arm 1: Baseline to post-treatment at 12 weeks Arm 2: Baseline to post-treatment at 24 weeks Arm 3: Baseline to post-treatment at 52 weeks Arm 4: Baseline to post-treatment at 12 weeks PPMS Cohort: Baseline to post-treatment at 52 weeks, From Baseline to post-treatment (Week 12, 24, 52 according to randomization and Weeks 144 and 240)|Change From Baseline in Number of CD3+ T-Cells in CSF Post-Treatment With Ocrelizumab, Arm 1: Baseline to post-treatment at 12 weeks Arm 2: Baseline to post-treatment at 24 weeks Arm 3: Baseline to post-treatment at 52 weeks Arm 4: Baseline to post-treatment at 12 weeks PPMS Cohort: Baseline to post-treatment at 52 weeks, From Baseline to post-treatment (Week 12, 24, 52 according to randomization and Weeks 144 and 240)","Genentech, Inc.",,INTERVENTIONAL,"Study Protocol, https://cdn.clinicaltrials.gov/large-docs/85/NCT02688985/Prot_000.pdf|Statistical Analysis Plan, https://cdn.clinicaltrials.gov/large-docs/85/NCT02688985/SAP_001.pdf"
NCT02506751,Open-label Study of Liothyronine in MS,https://clinicaltrials.gov/study/NCT02506751,COMPLETED,"This study will evaluate the safety and tolerability of synthetic T3, liothyronine. It will establish if there are changes in MS symptoms and if there is a positive effect on markers of neuronal health.",NO,"Multiple Sclerosis, Relapsing-Remitting|Multiple Sclerosis, Secondary Progressive|Multiple Sclerosis, Primary Progressive",DRUG: liothyronine,"The incidence rate of adverse events, 26 weeks",Johns Hopkins University,,INTERVENTIONAL,
NCT02807285,Expanded Access Program for Ocrelizumab in Participants With Primary Progressive Multiple Sclerosis,https://clinicaltrials.gov/study/NCT02807285,NO_LONGER_AVAILABLE,The primary objective of this expanded access program is to provide ocrelizumab as treatment for eligible participants with primary progressive multiple sclerosis (PPMS) before it is commercially available in the United States (U.S.) for the indication of PPMS.,NO,Multiple Sclerosis,DRUG: Ocrelizumab,,"Genentech, Inc.",,EXPANDED_ACCESS,
NCT00799890,Sunphenon in Progressive Forms of Multiple Sclerosis,https://clinicaltrials.gov/study/NCT00799890,COMPLETED,"The investigators hypothesize that an oral Sunphenon EGCg (Epigallocatechin-Gallat, EGCG) treatment is - due to its antiinflamatoric and neuroprotective potence - significantly more effective than an oral placebo treatment regarding following parameters: increase in brain atrophy, number of new T2-lesions in the cerebral magnetic resonance tomography, reduction of the NAA/Cr-ratio in MR-spectroscopy, progression of disability such as cognitive disorders in patients with MS.",NO,Multiple Sclerosis,DRUG: Sunphenon EGCG|DRUG: Placebo,"brain atrophy, 36 months of treatment",Friedemann Paul,TAIYO EUROPE,INTERVENTIONAL,
NCT01970410,MAIN STUDY: SWITCH SUB-STUDY: SWITCH-JCV,https://clinicaltrials.gov/study/NCT01970410,COMPLETED,"MAIN STUDY: The purpose of this study is to determine if teriflunomide will be safe and effective to prevent relapses in patients with relapsing types of MS when switching from natalizumab to teriflunomide in patients at risk for PML. This is a two center interventional study of patients who have had 12 or more continuous infusions of natalizumab , who are anti-JCV-ab positive, and who had been free of clinical relapses during prior 12 months of natalizumab therapy who will be switching to teriflunomide.

SUB-STUDY: To study the number of patients experiencing a reduction in the anti-JCV antibody Index value in patients who had received at least one dose of teriflunomide during participation in the SWITCH protocol (main study).",YES,Multiple Sclerosis,DRUG: teriflunomide,"MAIN STUDY: Number of Participants Relapse Free at 24 Months, Number of patients relapses free by month 24., 24 months",Providence Health & Services,Multiple Sclerosis Center of Northeastern New York,INTERVENTIONAL,"Study Protocol and Statistical Analysis Plan: Sub Study, https://cdn.clinicaltrials.gov/large-docs/10/NCT01970410/Prot_SAP_000.pdf|Study Protocol and Statistical Analysis Plan: Main Study, https://cdn.clinicaltrials.gov/large-docs/10/NCT01970410/Prot_SAP_001.pdf|Informed Consent Form: Sub Study, https://cdn.clinicaltrials.gov/large-docs/10/NCT01970410/ICF_002.pdf|Informed Consent Form: Main study, https://cdn.clinicaltrials.gov/large-docs/10/NCT01970410/ICF_003.pdf"
NCT06592703,Allogenic Adipose Tissue-derived Mesenchymal Stromal Cells for the Treatment of Primary Progressive Multiple Sclerosis,https://clinicaltrials.gov/study/NCT06592703,RECRUITING,"In this study, we propose, for the first time, to test the safety and the potential efficacy of repeated allogenic Adipose tissue-derived Mesenchymal Stromal Cells IT injections in Primary Progressive Multiple Sclerosis patients.",NO,Multiple Sclerosis,DRUG: Adipose tissue-derived Mesenchymal Stromal Cells,"Percentage of patients experiencing at least one adverse effect, Percentage of patients experiencing at least one adverse effect (AE) due to ASC infusion qualified as CTCAE V5 grade ≥ 3 or qualified as ""serious"" AE using the MeDRA terminology, and occurring between the first infusion and the end of the follow-up. The severity of the AE and the causality of the ASC infusion will be validated by a DSMB, 48 weeks",Rennes University Hospital,Etablissement Français du Sang,INTERVENTIONAL,
NCT05177523,Imaging the Interplay Between Axonal Damage and Repair in Multiple Sclerosis,https://clinicaltrials.gov/study/NCT05177523,RECRUITING,"This project is to:

1. Quantify differences in axonal integrity and organization in aMS versus naPMS patients.
2. Quantify changes in axonal integrity and organization in aMS versus naPMS patients over a two-year period.
3. Validate the combination of imaging parameters that best differentiate aMS versus naPMS patients using histopathology.",NO,Multiple Sclerosis (MS)|Relapsing-remitting Multiple Sclerosis (RRMS)|Secondary-progressive Multiple Sclerosis (SPMS)|Primary Progressive Multiple Sclerosis (PPMS),DIAGNOSTIC_TEST: MRI|OTHER: Neurocognitive examination for healthy subjects|OTHER: blood sampling,"MRI- change in axonal integrity and organization over 2 years in aMS, naPMS and HC, by using machine learning techniques, After magnetic resonance (MR) data preprocessing (image denoising, standardization, bias field correction) classical machine learning techniques will be used to classify a number of MRI metrics which will be averaged over a number of regions of interest (ROIs) including (i) normal-appearing white and brain matter in brain lobes and cervical spinal cord, (ii) basal ganglia, (iii) thalamus, (vi) cerebellum, MS lesions. Complex input data (voxels/patches) will be generated to learn from, then a deep learning model for supervised classification will be defined to identify the combination of aMRI parameters that characterize aMS, naPMS and HC., at baseline and 2 years (+/- 3 months) after baseline","University Hospital, Basel, Switzerland",Swiss National Science Foundation,OBSERVATIONAL,
NCT03679468,Improving Cognition in People With Progressive Multiple Sclerosis Using Aerobic Exercise and Cognitive Rehabilitation,https://clinicaltrials.gov/study/NCT03679468,COMPLETED,"Given that up to 70% of people with secondary progressive MS are cognitively impaired, the search for effective treatments is considered a priority by people living with the disease. This proposal will address the effectiveness of cognitive rehabilitation (CR) and exercise, either alone, or in combination in this regard. A team of MS researchers has been assembled from the USA, Canada, the United Kingdom, Italy, Denmark, Germany and Belgium for this. A total of 360 people with progressive MS will make up the sample. Brain MRIs will be undertaken in a third of the sample before and after the 12 weeks of treatment to document the functional changes that are expected to occur with symptom improvement.",NO,"Multiple Sclerosis, Primary Progressive|Cognitive Impairment",OTHER: Cognitive Rehabilitation|OTHER: Sham Exercise|OTHER: Sham Cognitive Rehabilitation|OTHER: Aerobic Exercise,"Change from baseline cognitive Information processing speed at 12 weeks and 6 months, The Symbol Digit Modalities Test (SDMT) will be used to measure cognitive information processing speed

The SDMT is a simple matching task that requires the participant to refer to a reference key, in order to correctly match a geometric symbol with the corresponding number. Participant will be under a 90 second time constraint to quickly and correctly match each pair.

Test will be administered at index assessment, 12 weeks following cognitive rehab/ aerobic exercise, and at 6 months to examine cognitive retention, Baseline, 12 weeks, and 6 month",Sunnybrook Health Sciences Centre,"University of Florence|Fondazione Italiana Sclerosi Multipla|University College, London|Kessler Foundation|University of Alabama at Birmingham|University of Southern Denmark|Hasselt University|University of Plymouth|Universita degli Studi di Genova|Unity Health Toronto|Ospedale San Raffaele",INTERVENTIONAL,
NCT03593590,Non-interventional Study of Ocrelizumab in Participants With Relapsing or Primary Progressive Multiple Sclerosis,https://clinicaltrials.gov/study/NCT03593590,COMPLETED,"This is a multicentre non-interventional study aimed at evaluating the real-world effectiveness and safety of ocrelizumab treatment in participants with relapsing multiple sclerosis (RMS) or primary progressive multiple sclerosis (PPMS), who have been prescribed ocrelizumab as per routine practice. This study will use a comprehensive combination of participant reported outcomes and conventional multiple sclerosis (MS) endpoints that measure clinical domains commonly affected by MS (e.g. fatigue, hand function, gait, cognition), and their impact on employment, activities of daily living, quality of life and healthcare resource utilization. The incidence, type, and pattern of serious adverse events (SAEs), and of adverse events (AEs) leading to treatment discontinuation will also be determined.",NO,Multiple Sclerosis,DRUG: Ocrelizumab,"Changes in the overall SymptoMScreen score in participants with RMS, SymptoMScreen is a battery of 7-point Likert scales for 12 distinct domains: mobility, dexterity, body pain, sensation, bladder function, fatigue, vision, dizziness, cognition, depression, and anxiety.

Composite scores (range min: 0, max: 72) Subscores for each functional domain (range: 0-not affected at all; 6: total limitation/I'm unable to do most daily activities), 4 years|Changes in the overall SymptoMScreen score in participants with PPMS, SymptoMScreen is a battery of 7-point Likert scales for 12 distinct domains: mobility, dexterity, body pain, sensation, bladder function, fatigue, vision, dizziness, cognition, depression, and anxiety.

Composite scores (range min: 0, max: 72) Subscores for each functional domain (range: 0-not affected at all; 6: total limitation/I'm unable to do most daily activities), 4 years",Hoffmann-La Roche,,OBSERVATIONAL,
NCT05748015,Definition of Autonomic Nervous System Involvement in Patients With Multiple Sclerosis,https://clinicaltrials.gov/study/NCT05748015,RECRUITING,"The goal of this interventional non-pharmacological study is to evaluate the involvement of the autonomic nervous system in patients with relapsing-remitting and primary progressive multiple sclerosis.

The main questions it aims to answer are:

* Is it possible to define the characteristics of dysautonomia to improve treatment on patients with multiple sclerosis through the management of conditions such as orthostatic hypotension or thermoregulation disorders that inevitably condition the patient's life and the response to rehabilitation ?
* Does the severity of the functional alterations correlate with impairment of small somatic and autonomic cutaneous nerve fibers in patients with multiple sclerosis ?
* How much the involvement of the autonomic nervous system affects the clinical history and progression of the disease ?
* Do different clinical variants of multiple sclerosis manifest with different patterns of involvement of the sensory-autonomic nervous system ?

Participants will be hospitalized in Maugeri Clinical Institute of Telese Terme for a rehabilitation treatment. Patients will perform a sensory and autonomic functional study and a morphological analysis of cutaneous nerves through skin biopsy.

Researchers will compare results between the two groups (relapsing-remitting and primary progressive) and between patients and data from control subjects.",NO,Multiple Sclerosis,"DIAGNOSTIC_TEST: quantification of sensory and autonomic small nerve fibers by punch skin biopsy|DIAGNOSTIC_TEST: Cardiovascular Reflexes testing|OTHER: Administration of clinical scales evaluating autonomic symptoms, pain small fiber neuropathy symptoms","Cardiovascular reflex test, Assessment of Cardiovascular reflex responses to physical challenges., At the recruitment|Sudomotor function test, Assessment of postganglionic sudomotor function through dynamic sweat test, At the recruitment",Istituti Clinici Scientifici Maugeri SpA,,INTERVENTIONAL,
NCT07280871,Clinnova-MS: A Prospective Cohort Study of Patients With Multiple Sclerosis: A Trans-regional Digital Health Effort Unlocking the Potential of Artificial Intelligence and Data Science in Health Care,https://clinicaltrials.gov/study/NCT07280871,NOT_YET_RECRUITING,"The Clinnova-Multiple Sclerosis (MS) study is part of the Clinnova program (NCT06526364; NCT06235684 and NCT05733702), which seeks to advance precision medicine and the digitalization of healthcare through high-quality, interoperable health data.

This program focuses on people with multiple sclerosis (MS) and aims to identify objective surrogate markers derived from clinical, epidemiological, imaging, and omics data that can predict disease activity, such as progression or relapses.

By combining data science and artificial intelligence, the project seeks to improve patient stratification, support personalized therapeutic decisions, and provide insights into the mechanisms underlying treatment response and disease progression.

Although many therapies are available for MS, it remains challenging to determine the most appropriate strategy for each patient and to prevent long-term disability. Current treatments mainly target relapses and inflammation, with limited effects on chronic progression. Clinnova-MS will collect and analyze real-world and research data to better understand variability in disease activity and treatment outcomes, enabling more precise, evidence-based care within the standard of care. This study represents the first step toward the broader Clinnova objective: developing sustainable, personalized, and preventive healthcare for people living with MS.",NO,"Multiple Sclerosis, Relapsing-Remitting|Multiple Sclerosis, Chronic Progressive|Clinically Isolated Syndrome|Primary Progressive Multiple Sclerosis",OTHER: Cohort,"Identification of Clinical, Imaging, and Omics Signatures for MS Subtype Stratification, Identify clinical, epidemiological, imaging and omics characteristics associated with changes of status for different subtypes of MS patients allowing the stratification of these patients according to similar patterns and disease courses.The primary endpoint will be the change of status of the patients' disease between the baseline and at Year 1. The status of the disease will be determined by using the No Evidence of Disease Activity (NEDA MS- 3)., 1 year",Luxembourg Institute of Health,Centre Hospitalier du Luxembourg|Luxembourg National Research Fund,OBSERVATIONAL,
NCT07222618,"""Selfie"" Videos: A Novel, Patient-centered, Comprehensive Approach to Measuring Function in MS",https://clinicaltrials.gov/study/NCT07222618,RECRUITING,"The goal of this observational study is to validate a novel, cost-effective method for real-world assessment using patient-acquired ""selfie"" videos in people with multiple sclerosis. The investigators aim to prove the feasibility and validity of monitoring walking changes remotely through a truly patient-centered, low-burden, low-cost approach. The main question this study aims to answer is: do remotely collected walking and speech videos from a mobile phone match the information investigators can gather from an in person visit?

Participants will collect 5 ""selfie"" videos at baseline, 3 months, 6 months and 12 months (about 15 minutes every 3 months). They will also come in person at baseline, 6 months, and 12 months for in person data collection (about 1 hour per in person visit).",NO,Multiple Sclerosis|Multiple Sclerosis (MS) - Relapsing-remitting|Multiple Sclerosis (MS) Primary Progressive|MS (Multiple Sclerosis)|MS|Multiple Sclerosis (MS) Secondary Progressive,,"Validate key metrics derived from video ""selfies"" against the MS Functional Composite (MSFC), The investigators will optimize key metrics until they show at least 0.75 correlation coefficient with MSFC z scores, as well as individual domains (walking speed/Timed 25 foot walk, processing speed/Symbol digit modalities test, dexterity/9 hole peg test)., 1 year","University of California, San Francisco","Genentech, Inc.",OBSERVATIONAL,
NCT03787446,PET Study in Multiple Sclerosis,https://clinicaltrials.gov/study/NCT03787446,UNKNOWN,"While both conventional and advanced MRI techniques offer important insights into MS pathophysiology, important aspects of this inflammatory disorder are undetectable with existing MRI technology. In Multiple Sclerosis (MS), there is growing interest in PET as an imaging modality that can increase the investigator's understanding of the disease processes and may add to an understanding of MS phenotype, particularly when combined with advanced MRI techniques such as myelin water imaging.",NO,Multiple Sclerosis,,"Whole Brain PBR28 binding, To show an increase in 11C-PBR28 binding in all sub-types of MS compared to healthy controls., January 2020",University of British Columbia,Hoffmann-La Roche,OBSERVATIONAL,
NCT03653585,Cortical Lesions in Patients With Multiple Sclerosis,https://clinicaltrials.gov/study/NCT03653585,COMPLETED,"Multiple sclerosis (MS) is an autoimmune disease, leading to inflammation and degeneration of neurons in the entire central nervous system (CNS). Not only does MS attack CNS white matter, the wiring of the brain, but it also affects so called grey matter, involved in communication between brain cells. Some studies have shown that grey matter damage and lesions to the outermost layer of the brain, the cortex, might serve as a better diagnostic and prognostic tool for MS patients. The issue is that cortical lesions only to a limited extent can be visualized by conventional magnetic resonance imaging (MRI) at 3 tesla. The new generation of ultra-high field MR scanners with a field strength of 7 tesla, has a higher sensitivity towards detecting these cortical lesions. We therefore wish to use the improved sensitivity of ultra-high field MRI to improve detection of cortical lesions, and to elucidate the detrimental effects of single lesions to the cortex, thereby improving both diagnosis and prognosis of the disease.

By implementing newly developed ultra-high-resolution MR-sequences the amount and extent of cortical lesions to the area of the brain responsible of the sensory and motor function of the hand (sensorimotor hand area - SM1-HAND) will be investigated in patients with relapsing remitting and secondary progressive MS. We will also assess how these lesions affect manual dexterity and sensory function and how cortical lesions affect communication within brain areas. It is hypothesized that the amount and size of cortical lesions is highly involved in brain communication and manual function, a major problem in MS, and that this project will shed new light on how the disease damages this important brain area.",NO,"Multiple Sclerosis|Multiple Sclerosis, Relapsing-Remitting|Multiple Sclerosis, Secondary Progressive",,"Number of cortical lesions in the primary sensorimotor cortex (SM1), Quantified as cortical lesion number on a unihemispheric level in patients with relapsing remitting and secondary progressive multiple sclerosis (RRMS \& SPMS)

The extent of damage to the SM1 is unknown, but based on clinical symptoms of motor function we expect that up to 40% of patients show focal cortical lesions in this area.

Additionally we wish to explore the relationship between cortical lesions in SM1 and other MRI metrics (e.g. white matter lesion load of the cortico-spinal tract, cortical myelination, cortical thickness, metabolite levels of SM1-HAND and diffusion metrics of the cortico-spinal tract), Data collected on day 1 and 2|Unimanual motor function, A composite score computed as the mean of Z-scores from the health population (expected range +-4, lower being better motor performance) for unimanual performance in: 9-hole peg test (time in seconds, lower being better), Jebsen Taylor Hand Function Test (time in seconds, lower being better), Finger Tapping (mean times/10seconds from all 5 digits, higher being better).

We hypothesize that unimanual motor function correlates negatively with the total cortical lesion load within the contralateral SM1-HAND area, independent of age, gender handedness, white matter lesion volume and axonal integrity of the cortico-spinal tract, central motor conduction time (CMCT) and cortical thickness of the primary sensorimotor cortex., Data acquired on day 1",Danish Research Centre for Magnetic Resonance,Scleroseforeningen|Danish Multiple Sclerosis Center,OBSERVATIONAL,
NCT00087529,A Study to Evaluate the Safety and Efficacy of Rituximab in Adults With Primary Progressive Multiple Sclerosis,https://clinicaltrials.gov/study/NCT00087529,COMPLETED,"This is a Phase II/III, randomized, double-blind, parallel group, placebo controlled, multicenter study to evaluate the safety and efficacy of rituximab in adults with PPMS. The study will enroll approximately 435 subjects at up to 60 sites in the United States and Canada.",YES,Multiple Sclerosis,DRUG: placebo|DRUG: rituximab,"Time to Confirmed Disease Progression (CDP), Disease progression was assessed using the Expanded Disability Status Scale (EDSS), a disability scale that ranges from 0 to 10, where higher scores represent increased disability. Progression was defined as either an increase of greater than or equal to (≥) 1 point from a Baseline EDSS score within 2.0 to 5.5 points, or an increase of ≥0.5 points from a Baseline EDSS score greater than (\>) 5.5 points, for which the change was not attributable to another etiology. Repeat assessment to determine CDP must have occurred at a regularly scheduled visit at least 12 weeks after initial progression; those who discontinued treatment early without confirmatory EDSS assessment were considered as having CDP. Those who did not meet criteria for CDP, completed treatment with only initial progression, or received an exclusionary therapy were censored at last EDSS assessment. Time to CDP was the time from randomization to initial disease progression, estimated using Kaplan-Meier (KM) analysis., 96 weeks (from Screening to Week 96, and at least 12 weeks after initial progression)|Percentage of Participants With CDP, Disease progression was assessed using the EDSS, a disability scale that ranges from 0 to 10, where higher scores represent increased disability. Progression was defined as either an increase of ≥1 point from a Baseline EDSS score within 2.0 to 5.5 points, or an increase of ≥0.5 points from a Baseline EDSS score \>5.5 points, for which the change was not attributable to another etiology. Repeat assessment to determine CDP must have occurred at a regularly scheduled visit at least 12 weeks after initial progression; those who discontinued treatment early without confirmatory EDSS assessment were considered as having CDP. The percentage of participants with CDP was calculated as \[number of participants meeting the above criteria divided by the number analyzed\] multiplied by 100., 96 weeks (from Screening to Week 96, and at least 12 weeks after initial progression)","Genentech, Inc.",,INTERVENTIONAL,
NCT04705610,"Social Cognition in Multiple Sclerosis, From a Study of Eye Movement and Gaze Strategies Using Video-oculography",https://clinicaltrials.gov/study/NCT04705610,COMPLETED,"This study aims to:

* analyze prospectively the prevalence of subclinical oculomotor disorders (OMDs) in different phenotypes of Multiple Sclerosis (MS) and to study correlations with brain MRI T2 data.
* highlight link between modification of visual exploration strategies to decode emotions, and social behavioral disorders, in patients with demyelinating disease, from early to clinically definite stages.",NO,Multiple Sclerosis (MS)|Multiple Sclerosis (MS) Relapsing Remitting|Multiple Sclerosis (MS) Primary Progressive|Multiple Sclerosis (MS) Secondary Progressive|Radiologically Isolated Syndrome|Clinically Isolated Syndrome|Healthy,OTHER: Video-oculography / Social cognition tasks / Neuropsychological evaluations,"Prevalence of Oculomotor disorders (OMD), To analyze prevalence of OMD in different MS phenotypes Eye movements were recorded and analyzed with an eye-tracking device during oculomotor paradigms (Fixations, horizontal and vertical reflex saccades, smooth pursuit and anti-saccades). For each subject values were judged abnormal if they differed by \>1.65 Standard Deviation (SD) compared to their reference sample., Day 0|Eye gaze strategies during Emotion recognition: Affective Theory of Mind (ToM), Comparison of gaze patterns between control group and pathological groups, during Affective ToM task. Evaluation criteria: number and duration of fixations. Eye movements were recorded with an eye-tracking device. Affective ToM was assessed using the "" Reading the Mind in the Eyes "" test (Baron-Cohen 2001)., Day 0|Eye gaze strategies during Emotion recognition assessment: Facial emotion recognition (FER), Comparison of gaze patterns between control group and pathological groups, during Facial emotion recognition tasks. Evaluation criteria: number and duration of fixations on areas of interest. Eye movements were recorded with an eye-tracking device. FER was assessed using some pictures from the Ekman Faces task (1976)., Day 0",Association de Recherche Bibliographique pour les Neurosciences,Centre Hospitalier Universitaire de Nice|Centre Hospitalier Princesse Grace,INTERVENTIONAL,
NCT01381354,"Nutrition, Neuromuscular Electrical Stimulation (NMES) and Secondary Progressive Multiple Sclerosis (SPMS)",https://clinicaltrials.gov/study/NCT01381354,COMPLETED,"The study will use a multimodal therapeutic lifestyle intervention consisting of a study diet, stressing more vegetables and fruit, elimination of foods at greatest risk for food allergy, meditation, self massage, progressive exercise and neuromuscular electrical stimulation for rehabilitation of gait and fatigue disability in the setting of secondary and primary progressive multiple sclerosis with gait disability.",NO,Multiple Sclerosis,OTHER: Progressive exercise|DEVICE: Neuromuscular electrical stimulation delivered using the electrical therapy device EMPI 300 PV|OTHER: Modified paleolithic diet|DIETARY_SUPPLEMENT: Omega 3 fatty acids|DIETARY_SUPPLEMENT: Full Spectrum vitamin|DIETARY_SUPPLEMENT: Essential - hydroxytyrosol|DIETARY_SUPPLEMENT: Maltodextrin fiber supplement|DIETARY_SUPPLEMENT: Mineral boost (magnesium)|DIETARY_SUPPLEMENT: Niacinamide|DIETARY_SUPPLEMENT: Methyl B12|DIETARY_SUPPLEMENT: Taurine|DIETARY_SUPPLEMENT: creatine|DIETARY_SUPPLEMENT: thiamine|DIETARY_SUPPLEMENT: riboflavin|DIETARY_SUPPLEMENT: N acetylcysteine|DIETARY_SUPPLEMENT: alpha lipoic acid|DIETARY_SUPPLEMENT: L acetyl carnitine|DIETARY_SUPPLEMENT: methyl folate|DIETARY_SUPPLEMENT: coenzyme Q|BEHAVIORAL: meditation|BEHAVIORAL: self massage|BEHAVIORAL: learning|DIETARY_SUPPLEMENT: Coconut oil,"Fatigue severity scale, Self reported fatigue severity scale, (agreement with 9 questions describing impact of fatigue on daily activities), Baseline, 3 M, 6M, 9M,12 M",University of Iowa,"Direct MS Canada|DJO Incorporated|Pinnaclife Inc.|TZ Press, LLC",INTERVENTIONAL,
NCT01915433,Wahls Paleo Diet and Progressive Multiple Sclerosis,https://clinicaltrials.gov/study/NCT01915433,COMPLETED,"Based on favorable preliminary data from ongoing studies testing the safety and tolerability of a nutrition, exercise and neuromuscular electrical stimulation funded by Direct MS, the investigators are proposing a pilot study focused on the Wahls Paleo plus Diet and Wahls Diet intervention to usual care. The intent is to measure the effect size of a Wahls Paleo plus Diet and the effect size of the Wahls Diet in reducing fatigue and improving quality of life scores as measured by fatigue severity scale score and MS quality of life 54 physical and mental scores and various subscale scores. Inclusion criteria is the presence of fatigue and the diagnosis secondary and primary progressive MS, progressive relapsing MS or relapsing-remitting MS with an expanded disability status scale score (EDSS) score of 4.5 or greater but otherwise stable medically. The Wahls Paleo plus (ketogenic diet) and the Wahls diet (modified paleolithic diet) groups will be instructed in completing a daily food log and receive coaching from registered dieticians who are expert in motivational interviewing. The control group will receive usual care. Biomarkers of nutrient levels (e.g. vitamin) and inflammation, blood sugar and insulin levels will be monitored. Additional blood will be frozen for future analysis. Nutrient (e.g. vitamin and antioxidant) intake will be assessed using food frequency questionnaires and 24 hr diet recalls. Test of endothelial function will be done at baseline and 12 weeks. Outcome measures will be change in quality of life and fatigue, endothelial function and blood biomarkers between enrollment and end of study at 12 weeks. The hypotheses are that the diet intervention groups will experience reduced fatigue and improved quality of life and improved biomarkers 1) between zero and 12 weeks and that the wahls paleo plus (ketogenic diet) and the wahls diet (modified paleolithic diet) groups will experience more improvements in quality of life and reduced fatigue and in biomarkers than the usual care group experiences at 12 weeks. The usual care group will be given instruction in following both the wahls paleo plus and the wahls diet plans and how to utilize the daily food logs at the end of study visit. The usual care group will receive one nutrition coaching call to assist with implementation of the study diet.",NO,Multiple Sclerosis,OTHER: Wahls Paleo Plus|OTHER: Wahls Diet,"Perceived Fatigue, Fatigue as measured by the fatigue severity scale and the modified fatigue impact scale, Baseline, weeks, 4,8 and 12",Terry L. Wahls,,INTERVENTIONAL,
